City,Locality,Property_Type,RERA_Approved,BHK,Bathrooms,Balconies,Floor,Age_of_Property_years,Ready_to_Move,Furnishing,Parking,Facing,Gated_Community,Lift_Available,Water_Supply,Security_Guard,Gym,Swimming_Pool,Power_Backup,Clubhouse,Play_Area,Near_School_km,Near_Hospital_km,Near_Metro_km,Near_Market_km,Monthly_Maintenance,EMI_Per_Lakh,Interest_Rate,Resale,Property_Tax_Annual,Pollution_Index,Noise_Index,Crime_Rate,Internet_Availability,Public_Transport_Score,Flood_Zone,Earthquake_Zone,Civic_Amenities_Rating,Market_Demand_Rating,Rental_Yield_Percent,Carpet_Area_sqft,Total_Floors,Expected_Price_Lakhs
Delhi,Lajpat Nagar,Villa,Yes,4,5,2,17,3,No,Furnished,No,East,No,Yes,Both,No,Yes,Yes,No,No,Yes,1.92,1.33,6.79,1.37,8000,1133.07,7.2,No,18216,78.8,82.1,19.6,8.6,8.0,Yes,No,5.5,9.5,3.01,1519,26,396.97
Chennai,Anna Nagar,Apartment,Yes,4,4,0,16,24,No,Furnished,No,South,Yes,Yes,Both,Yes,Yes,Yes,No,Yes,Yes,1.61,1.9,0.96,1.96,7304,855.62,9.13,No,13538,63.2,79.8,30.8,7.5,7.5,Yes,Yes,5.4,7.0,3.46,653,24,50.06
Surat,Adajan,Independent House,No,2,3,1,3,2,No,Furnished,Yes,East,No,Yes,Corporation,Yes,No,No,Yes,Yes,No,0.99,5.06,6.06,2.61,3902,796.47,7.32,No,23344,67.6,70.9,17.0,7.9,6.9,No,Yes,5.0,9.3,4.0,496,8,25.27
Kochi,Panampilly Nagar,Villa,No,4,5,0,6,7,No,Unfurnished,Yes,West,No,Yes,Borewell,No,No,Yes,No,No,No,4.68,4.13,6.74,2.73,3642,981.63,7.69,No,17305,54.8,67.1,53.0,8.4,7.0,No,No,5.5,9.8,4.11,494,6,20.2
Chennai,Adyar,Independent House,Yes,1,1,1,4,3,Yes,Furnished,Yes,North,Yes,No,Borewell,Yes,No,No,Yes,Yes,Yes,4.24,2.34,3.37,2.73,7443,1115.7,8.5,No,14051,43.5,65.8,14.9,6.3,7.5,No,No,7.2,7.3,2.96,936,14,78.06
Mumbai,Vikhroli,Villa,No,3,4,1,14,5,No,Furnished,No,North,No,No,Corporation,Yes,Yes,No,Yes,No,No,4.54,5.89,7.47,2.23,4438,903.01,7.36,No,2998,35.2,83.6,57.0,6.6,6.0,Yes,No,6.6,6.8,4.21,430,14,218.03
Indore,Rau,Independent House,Yes,4,5,0,20,0,Yes,Semi-Furnished,Yes,East,Yes,No,Corporation,No,No,No,Yes,Yes,Yes,3.85,1.81,3.84,1.72,3099,1099.29,9.06,Yes,18590,77.6,50.3,52.7,6.4,6.9,Yes,No,9.8,5.9,2.03,408,23,26.76
Hyderabad,Gachibowli,Villa,Yes,4,4,0,6,15,Yes,Semi-Furnished,Yes,South,Yes,No,Both,Yes,Yes,No,No,Yes,Yes,2.56,2.17,2.29,1.51,7893,949.93,8.69,Yes,12562,55.3,75.9,26.1,8.9,7.2,No,No,5.5,7.1,3.36,628,9,50.26
Mumbai,Dadar,Independent House,Yes,2,3,1,3,8,No,Semi-Furnished,Yes,East,Yes,No,Both,Yes,No,No,No,Yes,No,1.32,0.3,6.23,2.71,1998,731.96,8.84,Yes,14630,37.9,40.2,37.8,6.7,6.4,Yes,No,7.7,9.8,3.04,424,4,178.51
Kolkata,New Alipore,Villa,Yes,3,4,1,14,22,Yes,Semi-Furnished,No,West,No,Yes,Both,Yes,No,No,Yes,Yes,No,3.04,0.36,5.02,1.42,3892,1083.48,7.36,Yes,24133,40.7,54.6,53.1,7.7,7.1,Yes,No,9.6,9.0,4.44,1431,14,85.0
Delhi,Saket,Independent House,No,1,2,0,20,13,Yes,Semi-Furnished,No,South,Yes,No,Borewell,Yes,Yes,Yes,No,Yes,Yes,3.99,1.81,6.34,0.48,2158,973.47,7.6,No,2916,62.5,75.5,36.6,9.8,8.5,Yes,No,6.2,7.7,3.33,793,20,287.23
Bengaluru,HSR Layout,Villa,Yes,4,5,0,6,16,Yes,Unfurnished,Yes,West,Yes,No,Corporation,No,No,Yes,Yes,No,No,1.38,0.35,4.63,0.57,2425,986.45,7.72,Yes,21748,64.5,45.8,44.6,8.4,5.8,No,No,8.6,6.9,2.78,1366,15,156.63
Kolkata,Dum Dum,Villa,No,2,3,0,8,14,Yes,Furnished,Yes,South,Yes,No,Both,No,No,Yes,No,No,No,4.24,4.25,4.04,1.05,3350,706.21,8.7,No,9850,86.9,83.8,28.0,7.4,10.0,No,No,6.2,8.6,3.68,1564,12,100.8
Indore,Palasia,Villa,Yes,1,2,0,11,20,Yes,Furnished,No,North,Yes,Yes,Borewell,Yes,Yes,No,No,No,No,1.63,3.38,5.7,1.61,7630,707.46,8.3,No,18113,62.0,82.0,37.3,6.9,8.1,No,No,9.5,8.1,3.45,908,19,60.69
Mumbai,Vikhroli,Apartment,No,3,3,1,15,22,No,Furnished,Yes,East,Yes,No,Both,Yes,Yes,Yes,No,No,No,1.91,4.85,7.75,1.89,3904,762.6,8.69,No,4283,54.1,59.1,40.3,8.0,5.3,Yes,Yes,6.8,9.7,2.45,1751,23,691.07
Surat,City Light,Villa,No,3,3,1,18,25,No,Semi-Furnished,Yes,East,No,No,Both,No,No,No,No,Yes,Yes,3.8,4.9,6.42,2.23,4462,1039.97,9.11,No,4164,48.5,62.4,25.8,9.0,7.4,No,No,8.6,9.9,3.08,1808,26,57.22
Chandigarh,Sector 35,Villa,Yes,2,2,2,8,9,No,Semi-Furnished,Yes,North,No,Yes,Borewell,Yes,No,Yes,No,No,Yes,2.75,5.26,3.22,2.65,1889,1066.88,8.09,Yes,18009,89.2,70.1,13.6,7.5,5.6,No,Yes,5.4,8.9,2.96,1648,14,159.06
Delhi,Saket,Apartment,No,2,3,2,3,5,Yes,Furnished,No,East,Yes,No,Corporation,Yes,Yes,Yes,No,Yes,No,4.78,1.02,2.35,1.39,4937,1138.38,8.61,No,17254,38.3,46.3,41.4,9.4,9.2,No,Yes,5.1,9.2,3.85,1804,5,877.92
Ahmedabad,Navrangpura,Apartment,Yes,4,4,1,17,2,No,Semi-Furnished,No,South,Yes,No,Borewell,No,Yes,No,No,Yes,Yes,4.46,1.32,0.51,2.01,2700,1123.78,8.39,Yes,6511,45.7,41.1,48.7,7.6,9.6,Yes,Yes,6.7,8.9,3.65,1120,19,48.72
Pune,Kalyani Nagar,Apartment,No,2,2,0,12,3,No,Semi-Furnished,Yes,East,No,No,Borewell,No,No,No,Yes,No,No,0.43,1.55,3.33,1.26,3112,831.64,8.83,Yes,4542,57.0,52.4,48.6,8.2,8.0,Yes,No,9.4,6.8,4.21,1598,20,125.35
Lucknow,Rajajipuram,Apartment,Yes,1,1,0,8,24,No,Unfurnished,No,South,No,Yes,Both,No,Yes,Yes,No,No,Yes,1.06,2.13,4.73,0.72,5853,1172.87,7.59,No,14137,68.1,76.6,41.1,7.2,5.8,No,Yes,6.0,9.7,2.03,954,8,43.39
Delhi,South Extension,Apartment,Yes,3,3,0,20,17,No,Furnished,No,South,No,No,Corporation,Yes,No,Yes,Yes,No,Yes,1.49,3.83,1.76,1.87,4269,780.19,9.05,Yes,9317,76.2,60.3,56.2,9.5,5.9,Yes,Yes,9.1,6.9,2.67,2003,27,660.76
Hyderabad,Banjara Hills,Villa,No,3,3,1,14,10,Yes,Unfurnished,Yes,North,No,Yes,Corporation,Yes,No,No,No,No,No,4.14,3.05,2.06,2.01,1586,763.21,7.07,No,4774,76.2,61.1,57.9,8.7,6.7,No,Yes,9.2,9.8,2.44,1000,15,96.02
Chennai,Tambaram,Apartment,Yes,3,3,0,1,3,Yes,Furnished,No,East,No,Yes,Both,No,Yes,Yes,No,No,Yes,1.75,2.73,0.5,1.95,5671,964.83,7.67,No,19926,57.2,48.1,30.7,6.3,7.3,Yes,No,9.4,6.0,4.33,2162,6,185.0
Ahmedabad,SG Highway,Villa,Yes,2,3,0,8,13,No,Unfurnished,No,East,No,Yes,Borewell,Yes,Yes,No,Yes,No,No,3.93,3.12,6.39,2.99,5014,893.25,8.42,Yes,24389,65.5,67.7,53.8,6.7,5.8,No,Yes,9.4,8.1,2.44,1160,13,72.06
Mumbai,Powai,Independent House,Yes,1,2,0,20,14,Yes,Furnished,Yes,North,No,No,Both,No,Yes,Yes,Yes,No,No,1.96,5.32,0.73,0.47,3245,1072.96,9.21,Yes,13333,72.2,80.7,19.7,8.5,8.8,No,Yes,6.5,9.1,4.26,636,25,238.04
Lucknow,Indira Nagar,Independent House,No,3,4,2,9,14,Yes,Unfurnished,Yes,West,No,Yes,Corporation,Yes,No,No,No,Yes,Yes,4.53,0.45,7.39,2.42,2046,1116.82,6.86,No,6298,87.0,55.3,57.1,8.3,7.5,Yes,Yes,6.4,7.4,3.09,1487,10,88.15
Indore,Bhawarkua,Villa,Yes,1,1,0,19,8,No,Semi-Furnished,No,South,Yes,Yes,Both,Yes,No,Yes,Yes,No,No,1.79,3.37,5.02,2.78,6016,921.98,7.88,Yes,23741,62.2,41.1,46.9,7.4,7.9,No,Yes,9.1,7.4,4.37,1172,28,66.59
Lucknow,Chinhat,Villa,No,3,4,0,7,0,Yes,Unfurnished,No,East,Yes,Yes,Both,No,Yes,No,No,Yes,No,0.58,2.11,6.62,2.61,2043,1158.85,7.83,Yes,15397,87.4,82.5,49.9,7.4,8.1,Yes,No,9.7,8.8,2.3,1724,11,72.9
Chennai,Sholinganallur,Apartment,No,3,4,1,14,20,No,Unfurnished,No,East,No,No,Borewell,Yes,Yes,No,Yes,No,No,2.93,5.95,7.17,2.26,6162,1149.04,8.46,Yes,16116,70.9,49.8,20.2,7.5,5.8,Yes,Yes,8.2,8.6,2.63,1518,15,120.15
Patna,Bailey Road,Apartment,No,4,5,0,16,13,No,Furnished,No,South,No,No,Both,Yes,Yes,Yes,No,Yes,No,1.38,1.61,3.97,1.51,1611,790.34,9.34,Yes,6877,50.8,63.5,32.0,9.2,5.2,No,Yes,7.9,7.2,3.15,951,26,39.53
Ahmedabad,Maninagar,Independent House,Yes,4,4,0,18,7,No,Semi-Furnished,Yes,North,No,Yes,Borewell,Yes,Yes,Yes,Yes,Yes,No,1.8,3.52,0.91,2.68,1696,792.93,8.46,Yes,5623,44.4,49.3,52.6,9.3,6.2,No,No,9.8,7.5,3.19,1126,22,75.39
Indore,MR-10,Villa,No,1,1,0,9,13,No,Unfurnished,Yes,North,No,Yes,Borewell,Yes,Yes,No,No,No,No,4.47,4.64,1.8,2.28,1587,1094.46,7.92,No,16372,43.0,76.6,25.7,7.7,7.9,No,No,7.6,9.7,2.57,1319,10,64.83
Patna,Bailey Road,Independent House,Yes,4,5,1,13,11,Yes,Semi-Furnished,Yes,West,No,Yes,Borewell,Yes,Yes,Yes,Yes,No,Yes,3.52,2.52,3.33,1.13,4601,901.11,8.76,No,14709,58.0,53.2,38.6,9.6,8.7,No,Yes,8.5,8.9,2.38,1487,18,69.04
Kolkata,Behala,Apartment,No,4,4,2,8,10,Yes,Unfurnished,Yes,West,No,No,Borewell,Yes,No,No,Yes,No,No,2.5,5.42,0.91,1.79,1945,1065.74,9.37,Yes,14647,64.4,48.9,17.9,6.5,5.6,Yes,No,8.3,7.0,2.03,647,14,41.34
Chennai,Tambaram,Apartment,Yes,1,1,1,10,12,No,Semi-Furnished,Yes,South,Yes,No,Both,No,Yes,No,No,No,No,3.82,4.1,5.23,2.79,5232,1159.78,8.44,No,23473,44.5,64.3,28.3,9.5,7.4,Yes,Yes,7.0,7.9,3.11,2146,20,180.96
Surat,Vesu,Villa,Yes,4,4,1,2,25,Yes,Semi-Furnished,Yes,East,Yes,No,Borewell,No,No,No,No,No,No,2.12,5.12,7.7,0.25,4729,856.85,8.6,Yes,22724,60.0,47.9,27.8,8.3,9.8,No,No,7.1,5.5,3.7,451,7,21.93
Bengaluru,Hebbal,Villa,No,2,3,2,5,15,Yes,Semi-Furnished,No,North,No,Yes,Both,Yes,No,Yes,Yes,Yes,No,1.7,4.19,3.18,0.29,7211,1055.32,6.57,No,5874,86.5,49.4,17.7,7.8,8.3,No,No,7.1,5.2,3.66,1944,13,221.05
Ahmedabad,Satellite,Apartment,No,3,3,0,7,16,Yes,Semi-Furnished,Yes,West,No,No,Corporation,No,No,Yes,Yes,Yes,Yes,1.74,2.76,3.31,0.73,4865,1117.54,9.07,Yes,2253,55.5,52.2,32.0,8.6,9.6,No,No,6.7,8.9,2.94,1179,15,70.12
Chandigarh,Manimajra,Apartment,No,3,4,1,12,15,No,Unfurnished,Yes,East,No,No,Both,No,No,No,No,No,No,3.57,0.45,3.88,1.2,2153,930.1,7.82,No,4225,39.5,73.9,59.5,8.2,8.8,No,Yes,6.0,9.1,3.11,1485,22,112.65
Indore,Rajendra Nagar,Apartment,No,1,2,2,15,21,Yes,Semi-Furnished,No,East,Yes,No,Borewell,Yes,No,Yes,Yes,No,Yes,4.83,5.0,1.98,1.1,6552,965.63,8.37,No,11217,47.0,79.6,50.3,7.4,8.7,Yes,No,7.4,8.7,3.04,1812,16,99.65
Surat,Adajan,Villa,Yes,3,3,2,6,17,No,Unfurnished,Yes,South,Yes,No,Corporation,No,Yes,Yes,Yes,Yes,Yes,1.7,3.31,0.81,1.45,3231,796.01,7.79,No,23175,57.3,51.9,53.5,8.3,9.4,Yes,No,5.2,6.7,3.64,780,7,43.23
Lucknow,Indira Nagar,Apartment,No,3,4,0,3,0,No,Furnished,Yes,North,No,No,Borewell,No,No,Yes,No,No,Yes,3.1,5.32,5.47,0.76,6754,923.86,7.47,Yes,8133,46.6,65.8,57.6,6.3,6.7,No,No,7.1,5.2,2.05,941,11,49.46
Patna,Kankarbagh,Apartment,No,1,1,0,10,25,Yes,Semi-Furnished,No,North,Yes,Yes,Corporation,Yes,No,Yes,Yes,Yes,Yes,3.43,1.65,3.7,0.42,2957,1026.92,8.88,No,20876,51.4,67.9,12.7,6.4,5.6,Yes,No,8.2,7.2,3.59,2163,18,121.54
Pune,Viman Nagar,Villa,No,3,3,0,6,5,No,Semi-Furnished,Yes,North,No,Yes,Borewell,No,No,Yes,No,No,Yes,3.51,2.95,1.35,2.5,7219,883.63,9.34,No,17345,68.9,48.5,56.7,6.9,9.3,No,Yes,5.9,5.1,4.45,527,13,61.19
Kochi,Panampilly Nagar,Independent House,Yes,1,1,1,15,6,Yes,Semi-Furnished,No,West,No,No,Corporation,No,Yes,No,No,No,Yes,3.28,4.32,4.13,0.85,1110,1163.88,6.65,Yes,5578,51.6,73.7,29.4,6.4,5.5,Yes,Yes,5.1,9.1,3.73,2172,21,125.93
Surat,Adajan,Independent House,No,2,2,1,15,10,Yes,Semi-Furnished,Yes,West,Yes,No,Both,Yes,Yes,Yes,No,Yes,Yes,0.7,4.96,6.04,0.38,5219,765.57,6.66,Yes,21916,40.7,73.4,36.3,6.1,5.1,No,Yes,8.3,6.8,3.45,1468,17,65.59
Bengaluru,HSR Layout,Independent House,Yes,4,4,1,17,12,Yes,Unfurnished,Yes,West,Yes,No,Corporation,No,No,No,Yes,No,No,0.46,2.69,6.67,2.17,5238,1179.65,9.37,No,15533,66.8,74.3,52.3,8.4,9.8,No,Yes,5.4,8.3,3.69,1983,18,159.74
Chandigarh,Zirakpur,Apartment,No,1,2,1,6,20,No,Unfurnished,Yes,West,No,Yes,Both,No,No,No,Yes,Yes,No,0.78,1.85,1.22,2.65,4773,826.86,8.07,No,7182,85.9,81.6,55.5,8.0,7.9,Yes,No,5.4,9.3,3.21,1283,14,110.57
Visakhapatnam,Madhurawada,Apartment,Yes,2,3,1,4,15,No,Unfurnished,No,West,No,No,Borewell,No,No,No,Yes,No,No,4.81,2.79,7.42,2.36,6930,1084.64,8.03,Yes,6318,58.7,55.8,23.5,8.3,9.2,Yes,Yes,5.7,7.3,3.77,935,10,63.11
Indore,Rau,Apartment,No,4,5,0,7,14,Yes,Semi-Furnished,Yes,South,No,Yes,Corporation,No,Yes,Yes,Yes,Yes,Yes,2.38,2.77,5.65,1.28,6720,1089.17,6.95,Yes,15815,76.8,61.0,28.1,7.4,5.7,No,No,7.8,7.2,2.92,1294,17,59.31
Kolkata,Rajarhat,Apartment,No,1,1,1,5,14,Yes,Semi-Furnished,No,West,Yes,No,Corporation,Yes,Yes,No,Yes,Yes,Yes,3.26,2.11,6.58,0.84,1244,1154.94,8.87,Yes,2503,60.4,48.3,25.1,8.7,9.2,Yes,No,5.4,6.9,3.74,1062,14,95.43
Chennai,Anna Nagar,Independent House,No,3,4,1,5,19,No,Unfurnished,Yes,South,No,Yes,Corporation,Yes,Yes,No,No,Yes,No,3.21,4.29,0.59,1.95,2675,903.14,9.17,Yes,19307,51.5,74.0,36.2,6.6,8.7,Yes,No,6.9,6.3,2.81,959,5,86.82
Ahmedabad,Satellite,Villa,No,4,4,0,16,21,No,Furnished,No,West,Yes,No,Both,No,Yes,No,Yes,No,Yes,3.43,2.33,3.28,2.02,2426,775.89,7.58,Yes,19719,69.2,77.2,38.0,7.1,9.3,Yes,No,9.9,5.8,3.63,1880,21,87.97
Indore,Palasia,Villa,No,3,3,2,17,13,Yes,Furnished,No,North,Yes,Yes,Both,Yes,Yes,No,Yes,Yes,No,0.77,3.41,0.64,2.34,6908,807.11,8.22,Yes,2468,84.9,56.7,10.9,9.9,8.9,Yes,Yes,5.2,7.4,3.96,2102,18,100.08
Chennai,Velachery,Apartment,No,1,2,1,13,6,Yes,Furnished,No,East,No,No,Both,No,No,Yes,Yes,No,No,1.2,0.26,3.91,0.52,6468,738.11,8.9,No,10816,67.6,55.8,42.0,8.0,5.8,Yes,No,6.6,8.7,4.03,1283,15,113.67
Mumbai,Malad,Apartment,Yes,4,5,0,7,10,Yes,Furnished,No,East,No,No,Both,Yes,Yes,No,No,No,No,4.61,5.84,3.04,1.04,1372,1053.31,7.74,Yes,3843,34.5,65.3,12.7,10.0,8.1,No,Yes,7.1,6.4,4.14,1856,9,666.31
Ahmedabad,Bopal,Independent House,No,4,4,1,15,22,Yes,Unfurnished,Yes,West,Yes,No,Both,Yes,Yes,No,Yes,Yes,Yes,2.91,1.35,1.71,1.75,6954,799.13,8.55,Yes,5191,77.2,41.5,56.8,8.0,7.8,Yes,Yes,9.2,5.3,2.16,1016,18,42.93
Chandigarh,Manimajra,Villa,Yes,4,4,1,7,2,No,Semi-Furnished,Yes,South,Yes,Yes,Corporation,No,Yes,Yes,Yes,No,No,0.18,4.89,4.93,1.81,4755,754.72,8.72,No,6488,84.5,71.3,25.6,8.2,9.3,Yes,Yes,7.6,7.5,3.87,447,9,34.2
Indore,Palasia,Independent House,Yes,2,2,2,19,25,No,Semi-Furnished,Yes,North,Yes,Yes,Corporation,Yes,Yes,Yes,Yes,No,Yes,3.1,3.15,4.78,2.48,2845,790.27,7.38,Yes,11849,46.4,48.6,51.4,8.0,8.4,No,No,5.9,5.5,3.13,2018,28,136.82
Kolkata,Garia,Villa,Yes,3,4,1,4,11,No,Semi-Furnished,Yes,East,No,No,Borewell,No,No,Yes,Yes,Yes,No,3.16,3.04,2.98,1.09,6361,885.76,9.2,No,16886,34.0,40.3,49.8,7.6,6.8,Yes,Yes,5.2,9.9,2.34,2092,6,146.66
Bengaluru,Hebbal,Independent House,Yes,1,1,0,19,8,No,Unfurnished,Yes,East,No,Yes,Both,Yes,Yes,Yes,Yes,Yes,No,4.59,1.38,4.2,2.8,3570,778.77,7.5,No,3451,60.3,83.3,51.4,8.0,8.6,Yes,No,7.5,9.7,3.26,1623,28,166.3
Pune,Baner,Villa,No,1,2,2,1,10,No,Furnished,Yes,West,No,Yes,Both,Yes,Yes,No,No,Yes,No,1.77,2.14,5.16,0.59,3076,1095.42,6.57,No,10117,44.1,70.7,15.9,7.5,7.3,No,Yes,8.4,6.7,3.83,1617,3,130.72
Surat,Udhna,Villa,Yes,4,5,0,2,15,No,Semi-Furnished,Yes,West,No,Yes,Corporation,Yes,No,Yes,No,No,Yes,1.34,4.47,5.97,0.54,2533,874.88,8.93,No,22345,89.2,80.8,36.4,7.2,9.3,Yes,Yes,8.7,9.1,3.6,425,12,18.64
Pune,Viman Nagar,Independent House,No,1,2,0,14,0,No,Unfurnished,Yes,South,No,Yes,Borewell,Yes,Yes,Yes,Yes,No,No,1.01,5.95,5.99,1.04,5750,1118.65,8.67,Yes,19761,53.1,71.2,17.1,9.9,5.9,No,No,5.4,8.4,3.69,1999,18,153.18
Delhi,Rohini,Independent House,No,4,5,0,19,8,Yes,Furnished,Yes,East,Yes,Yes,Corporation,Yes,Yes,Yes,No,No,Yes,4.18,1.92,5.01,1.25,2867,732.22,8.56,No,1591,46.1,62.1,33.1,9.3,7.7,Yes,Yes,5.6,8.5,2.76,1949,29,225.96
Pune,Baner,Independent House,No,3,3,2,4,16,Yes,Semi-Furnished,No,South,Yes,No,Corporation,No,No,No,Yes,Yes,Yes,1.75,3.16,5.33,1.04,1897,1125.28,7.83,Yes,23569,80.7,76.2,45.2,7.8,7.6,No,No,7.5,8.4,2.36,984,12,94.18
Jaipur,Mansarovar,Apartment,No,4,5,1,8,7,No,Furnished,No,South,No,Yes,Borewell,Yes,Yes,Yes,No,No,Yes,2.0,2.44,4.83,0.89,1725,886.18,7.68,No,24728,74.5,75.3,38.0,8.8,6.5,Yes,No,7.0,6.5,3.53,1338,9,84.23
Pune,Kalyani Nagar,Apartment,No,2,2,1,12,4,Yes,Furnished,Yes,East,Yes,No,Both,Yes,No,Yes,No,No,No,2.94,5.49,2.27,1.33,3872,815.05,8.02,No,16147,64.1,71.4,27.8,6.3,6.1,No,No,8.7,5.6,2.13,835,21,63.91
Chandigarh,Zirakpur,Villa,Yes,2,2,0,5,15,Yes,Unfurnished,No,West,No,Yes,Borewell,No,Yes,No,No,Yes,Yes,2.69,3.53,5.5,0.35,2217,821.17,7.68,Yes,1107,35.6,52.0,45.0,8.3,6.1,No,Yes,5.0,6.0,3.74,459,7,38.13
Pune,Viman Nagar,Independent House,Yes,2,2,0,9,20,Yes,Unfurnished,No,South,No,No,Both,No,Yes,No,No,No,No,4.94,2.49,7.81,2.71,5701,988.16,8.12,Yes,24818,85.4,63.9,14.1,10.0,5.2,No,No,6.4,6.5,4.39,1470,18,175.59
Pune,Wakad,Villa,No,1,2,1,20,22,No,Semi-Furnished,Yes,North,No,Yes,Both,Yes,No,Yes,No,Yes,No,4.85,4.83,3.88,1.12,1703,1123.49,7.7,Yes,6538,83.8,69.5,12.7,8.9,5.6,Yes,No,9.2,6.4,3.71,487,22,46.39
Visakhapatnam,Dwaraka Nagar,Independent House,No,4,5,1,18,18,Yes,Furnished,Yes,South,Yes,Yes,Both,No,Yes,Yes,Yes,No,No,0.6,2.26,3.53,2.47,6690,947.13,6.71,No,2097,34.1,51.1,17.0,6.6,7.6,No,No,6.4,9.6,2.23,1176,20,71.88
Kolkata,Salt Lake,Villa,Yes,4,4,2,18,0,No,Furnished,No,North,Yes,No,Corporation,Yes,Yes,No,No,Yes,No,0.3,1.29,2.99,2.2,7135,891.57,6.72,No,18448,77.0,79.7,51.6,9.2,7.6,Yes,No,5.5,7.2,2.3,1705,23,107.42
Mumbai,Goregaon,Villa,Yes,1,2,0,19,8,Yes,Furnished,Yes,East,No,No,Corporation,Yes,No,No,Yes,No,No,0.96,3.75,4.26,0.51,6039,708.85,7.59,No,24672,58.9,51.8,56.2,8.8,5.2,Yes,No,5.7,8.2,2.99,603,29,277.71
Chennai,Sholinganallur,Independent House,Yes,2,2,1,19,14,No,Furnished,No,East,Yes,Yes,Borewell,No,No,No,Yes,Yes,No,4.84,4.89,1.07,0.38,3819,1196.0,9.43,Yes,11465,71.5,57.9,11.3,7.8,8.1,Yes,Yes,5.6,6.3,2.23,1684,24,134.81
Visakhapatnam,MVP Colony,Independent House,Yes,3,3,1,16,9,Yes,Semi-Furnished,Yes,East,No,No,Borewell,Yes,No,No,No,No,Yes,3.39,1.31,7.51,1.26,4247,806.88,7.31,No,1113,80.4,47.0,26.5,6.0,5.8,No,No,7.6,6.4,2.91,854,19,56.86
Delhi,Karol Bagh,Apartment,Yes,4,4,0,13,10,Yes,Furnished,Yes,West,Yes,No,Borewell,No,Yes,Yes,Yes,Yes,Yes,4.66,0.76,1.98,1.37,2678,857.01,8.65,No,10322,38.8,57.0,39.4,9.5,7.2,Yes,No,7.4,8.1,2.86,1305,23,269.11
Visakhapatnam,Madhurawada,Villa,No,4,4,0,10,12,Yes,Furnished,Yes,South,Yes,Yes,Both,No,No,No,No,No,No,4.05,3.95,3.5,0.94,5054,876.69,6.84,No,24631,67.7,48.0,22.6,9.2,5.7,No,No,6.9,9.3,3.88,538,12,28.22
Jaipur,Malviya Nagar,Independent House,No,3,3,1,15,9,No,Semi-Furnished,No,South,No,No,Corporation,No,Yes,Yes,No,Yes,No,4.65,4.74,6.44,2.08,5138,1071.31,8.48,No,5419,58.5,83.8,38.4,9.8,9.2,No,No,5.0,9.4,4.41,2075,24,130.65
Visakhapatnam,Seethammadhara,Villa,Yes,1,2,0,9,16,Yes,Semi-Furnished,Yes,West,Yes,No,Both,Yes,No,Yes,No,No,No,2.26,3.4,6.24,1.69,7583,1162.46,6.58,Yes,13482,53.7,78.3,51.4,6.5,8.2,No,No,8.3,9.4,3.0,805,15,45.72
Indore,MR-10,Independent House,Yes,1,1,2,20,11,Yes,Furnished,Yes,North,No,Yes,Borewell,No,Yes,Yes,No,No,Yes,4.62,4.04,1.85,0.67,7769,802.9,9.2,Yes,12424,87.5,66.5,27.5,6.4,8.3,Yes,No,7.3,8.4,2.5,1155,21,57.81
Patna,Bailey Road,Villa,No,2,2,2,18,18,No,Unfurnished,Yes,West,Yes,No,Corporation,No,Yes,No,Yes,Yes,No,0.27,5.81,2.2,1.71,6183,881.04,8.75,No,3542,57.1,60.4,56.7,8.4,5.3,No,No,9.8,7.1,2.07,799,19,37.03
Lucknow,Indira Nagar,Villa,No,4,5,0,17,16,No,Furnished,No,West,Yes,No,Both,No,No,Yes,Yes,No,Yes,4.61,2.67,5.71,2.97,6319,1181.72,8.51,Yes,14004,83.7,53.0,15.7,9.2,7.2,Yes,Yes,5.6,8.0,4.23,1382,26,59.28
Chandigarh,Panchkula,Apartment,Yes,2,2,1,15,16,No,Semi-Furnished,No,West,Yes,No,Both,Yes,No,No,No,Yes,Yes,2.91,1.94,7.42,1.95,5528,1162.41,8.49,No,12606,42.9,66.7,45.7,8.3,7.6,No,Yes,5.0,9.7,3.44,1172,19,102.93
Mumbai,Dadar,Villa,Yes,4,5,2,13,0,Yes,Semi-Furnished,Yes,West,Yes,Yes,Corporation,No,Yes,No,Yes,Yes,Yes,0.31,2.59,6.88,0.74,4299,880.83,6.85,No,18609,39.7,73.0,45.8,6.9,5.2,No,No,7.4,7.8,3.42,1376,18,382.2
Chandigarh,Sector 35,Independent House,Yes,2,2,0,16,18,No,Unfurnished,No,South,No,Yes,Both,No,Yes,No,No,No,No,0.14,2.76,7.82,2.55,3794,710.91,8.16,Yes,12370,84.3,52.3,58.9,7.4,8.9,Yes,No,6.3,6.2,2.37,2090,21,190.54
Pune,Baner,Apartment,No,1,2,0,10,21,No,Furnished,No,West,No,Yes,Borewell,Yes,Yes,Yes,Yes,Yes,Yes,2.13,5.8,5.82,2.36,1606,1130.61,7.53,Yes,6217,45.2,54.8,17.4,9.2,9.9,No,Yes,6.7,7.7,4.38,2137,12,208.45
Hyderabad,Kukatpally,Independent House,Yes,1,1,2,9,12,Yes,Furnished,Yes,West,No,Yes,Borewell,No,Yes,Yes,No,No,No,4.42,2.48,0.86,2.42,6056,1099.75,8.63,Yes,23768,81.0,43.6,24.8,7.4,7.3,Yes,No,6.3,5.4,2.56,1507,12,151.23
